State Name,State Abbreviation,Region,Country
Alabama,AL,South,United States
Alaska,AK,West,United States
Arizona,AZ,West,United States
Arkansas,AR,South,United States
California,CA,West,United States
Colorado,CO,West,United States
Connecticut,CT,Northeast,United States
Delaware,DE,South,United States
District of Columbia,DC,South,United States
Florida,FL,South,United States
Georgia,GA,South,United States
Hawaii,HI,West,United States
Idaho,ID,West,United States
Illinois,IL,Midwest,United States
Indiana,IN,Midwest,United States
Iowa,IA,Midwest,United States
Kansas,KS,Midwest,United States
Kentucky,KY,South,United States
Louisiana,LA,South,United States
Maine,ME,Northeast,United States
Maryland,MD,South,United States
Massachusetts,MA,Northeast,United States
Michigan,MI,Midwest,United States
Minnesota,MN,Midwest,United States
Mississippi,MS,South,United States
Missouri,MO,Midwest,United States
Montana,MT,West,United States
Nebraska,NE,Midwest,United States
Nevada,NV,West,United States
New Hampshire,NH,Northeast,United States
New Jersey,NJ,Northeast,United States
New Mexico,NM,West,United States
New York,NY,Northeast,United States
North Carolina,NC,South,United States
North Dakota,ND,Midwest,United States
Ohio,OH,Midwest,United States
Oklahoma,OK,South,United States
Oregon,OR,West,United States
Pennsylvania,PA,Northeast,United States
Rhode Island,RI,Northeast,United States
South Carolina,SC,South,United States
South Dakota,SD,Midwest,United States
Tennessee,TN,South,United States
Texas,TX,South,United States
Utah,UT,West,United States
Vermont,VT,Northeast,United States
Virginia,VA,South,United States
Washington,WA,West,United States
West Virginia,WV,South,United States
Wisconsin,WI,Midwest,United States
Wyoming,WY,West,United States
Newfoundland and Labrador,NL,Atlantic,Canada
Prince Edward Island,PE,Atlantic,Canada
Nova Scotia,NS,Atlantic,Canada
New Brunswick,NB,Atlantic,Canada
Quebec,QC,Quebec,Canada
Ontario,ON,Ontario,Canada
Manitoba,MB,Prairies,Canada
Saskatchewan,SK,Prairies,Canada
Alberta,AB,Prairies,Canada
British Columbia,BC,British Columbia,Canada
Yukon,YT,Territories,Canada
Northwest Territories,NT,Territories,Canada
Nunavut,NU,Territories,Canada
Aguascalientes,AG,North-Central,Mexico
Baja California,BC,Northwest,Mexico
Baja California Sur,BS,Northwest,Mexico
Campeche,CM,Southeast,Mexico
Chiapas,CS,Southwest,Mexico
Chihuahua,CH,Northwest,Mexico
Coahuila,CO,Northeast,Mexico
Colima,CL,West,Mexico
Mexico City,DF,South-Central,Mexico
Durango,DG,Northwest,Mexico
Guanajuato,GT,North-Central,Mexico
Guerrero,GR,Southwest,Mexico
Hidalgo,HG,East,Mexico
Jalisco,JA,West,Mexico
México,MX,South-Central,Mexico
Michoacán,MI,West,Mexico
Morelos,MO,South-Central,Mexico
Nayarit,NA,West,Mexico
Nuevo León,NL,Northeast,Mexico
Oaxaca,OA,Southwest,Mexico
Puebla,PU,East,Mexico
Querétaro,QT,North-Central,Mexico
Quintana Roo,QR,Southeast,Mexico
San Luis Potosí,SL,North-Central,Mexico
Sinaloa,SI,Northwest,Mexico
Sonora,SO,Northwest,Mexico
Tabasco,TB,Southeast,Mexico
Tamaulipas,TM,Northeast,Mexico
Tlaxcala,TL,East,Mexico
Veracruz,VE,East,Mexico
Yucatán,YU,Southeast,Mexico
Zacatecas,ZA,North-Central,Mexico